Fecha,Producto,Categoría,Cantidad,Precio,Vendedor,Total
2026-08-01,Computador,Tecnología,2,2500000,Ana,5000000
2026-08-02,Mouse,Accesorios,10,50000,Carlos,500000
2026-08-03,Teclado,Accesorios,8,80000,Luis,640000
2026-08-04,Monitor,Tecnología,3,900000,María,2700000
2026-08-05,Impresora,Oficina,4,750000,Pedro,3000000
2026-08-06,Computador,Tecnología,1,2500000,Ana,2500000
2026-08-07,Mouse,Accesorios,15,50000,Carlos,750000
2026-08-08,Teclado,Accesorios,6,80000,Luis,480000
2026-08-09,Monitor,Tecnología,2,900000,María,1800000
2026-08-10,Impresora,Oficina,3,750000,Pedro,2250000
2026-08-11,Computador,Tecnología,3,2500000,Ana,7500000
2026-08-12,Mouse,Accesorios,12,50000,Carlos,600000
2026-08-13,Teclado,Accesorios,10,80000,Luis,800000
2026-08-14,Monitor,Tecnología,4,900000,María,3600000
2026-08-15,Impresora,Oficina,5,750000,Pedro,3750000
2026-08-16,Computador,Tecnología,2,2500000,Ana,5000000
2026-08-17,Mouse,Accesorios,18,50000,Carlos,900000
2026-08-18,Teclado,Accesorios,7,80000,Luis,560000
2026-08-19,Monitor,Tecnología,3,900000,María,2700000
2026-08-20,Impresora,Oficina,2,750000,Pedro,1500000
2026-08-21,Computador,Tecnología,4,2500000,Ana,10000000
2026-08-22,Mouse,Accesorios,14,50000,Carlos,700000
2026-08-23,Teclado,Accesorios,9,80000,Luis,720000
2026-08-24,Monitor,Tecnología,5,900000,María,4500000
2026-08-25,Impresora,Oficina,6,750000,Pedro,4500000
2026-08-26,Computador,Tecnología,2,2500000,Ana,5000000
2026-08-27,Mouse,Accesorios,20,50000,Carlos,1000000
2026-08-28,Teclado,Accesorios,8,80000,Luis,640000
2026-08-29,Monitor,Tecnología,4,900000,María,3600000
2026-08-30,Impresora,Oficina,3,750000,Pedro,2250000
