IDVenta,Fecha,IDCliente,IDProducto,Producto,Categoria,Cantidad,Precio
V0001,2026-01-21,C001,P001,Laptop Pro,Computadores,7,4200000
V0002,2026-06-01,C001,P001,Laptop Pro,Computadores,8,4200000
V0003,2026-05-09,C001,P001,Laptop Pro,Computadores,2,4200000
V0004,2026-03-29,C001,P001,Laptop Pro,Computadores,8,4200000
V0005,2026-03-28,C001,P001,Laptop Pro,Computadores,1,4200000
V0006,2026-06-17,C001,P001,Laptop Pro,Computadores,5,4200000
V0007,2026-01-21,C001,P001,Laptop Pro,Computadores,4,4200000
V0008,2026-05-17,C001,P001,Laptop Pro,Computadores,3,4200000
V0009,2026-02-12,C001,P001,Laptop Pro,Computadores,1,4200000
V0010,2026-01-22,C001,P001,Laptop Pro,Computadores,7,4200000
V0011,2026-04-15,C001,P001,Laptop Pro,Computadores,3,4200000
V0012,2026-07-09,C001,P001,Laptop Pro,Computadores,6,4200000
V0013,2026-05-24,C001,P001,Laptop Pro,Computadores,4,4200000
V0014,2026-05-29,C001,P001,Laptop Pro,Computadores,3,4200000
V0015,2026-05-21,C001,P001,Laptop Pro,Computadores,8,4200000
V0016,2026-06-03,C001,P007,Disco SSD 1TB,Almacenamiento,1,410000
V0017,2026-04-12,C001,P013,Router WiFi 6,Redes,6,390000
V0018,2026-01-29,C001,P001,Laptop Pro,Computadores,6,4200000
V0019,2026-06-13,C006,P007,Disco SSD 1TB,Almacenamiento,4,410000
V0020,2026-03-31,C006,P009,Webcam HD,Accesorios,3,210000
V0021,2026-04-10,C006,P020,UPS 1200VA,Energía,1,760000
V0022,2026-03-16,C006,P005,Monitor 27,Monitores,8,1250000
V0023,2026-02-08,C006,P006,Impresora Multifuncional,Impresión,8,980000
V0024,2026-06-30,C006,P009,Webcam HD,Accesorios,2,210000
V0025,2026-06-02,C006,P020,UPS 1200VA,Energía,1,760000
V0026,2026-05-07,C006,P018,Cámara de Seguridad,Seguridad,1,360000
V0027,2026-03-22,C006,P001,Laptop Pro,Computadores,1,4200000
V0028,2026-06-10,C006,P005,Monitor 27,Monitores,7,1250000
V0029,2026-04-18,C006,P017,Hub USB-C,Accesorios,8,175000
V0030,2026-03-30,C006,P002,Mouse Inalámbrico,Accesorios,2,95000
V0031,2026-03-31,C009,P018,Cámara de Seguridad,Seguridad,6,360000
V0032,2026-02-17,C001,P006,Impresora Multifuncional,Impresión,2,980000
V0033,2026-01-22,C005,P019,Proyector HD,Proyección,3,2200000
V0034,2026-04-20,C029,P006,Impresora Multifuncional,Impresión,5,980000
V0035,2026-06-22,C013,P009,Webcam HD,Accesorios,6,210000
V0036,2026-01-17,C015,P014,Silla Ergonómica,Mobiliario,7,1180000
V0037,2026-06-17,C015,P003,Teclado Mecánico,Accesorios,1,280000
V0038,2026-06-11,C024,P012,Celular Empresarial,Telefonía,2,1850000
V0039,2026-02-26,C002,P011,Tablet 10,Tablets,3,1450000
V0040,2026-05-05,C003,P016,Base Refrigerante,Accesorios,3,145000
V0041,2026-02-05,C009,P020,UPS 1200VA,Energía,8,760000
V0042,2026-05-29,C015,P014,Silla Ergonómica,Mobiliario,7,1180000
V0043,2026-05-18,C021,P009,Webcam HD,Accesorios,3,210000
V0044,2026-03-13,C015,P009,Webcam HD,Accesorios,8,210000
V0045,2026-01-17,C014,P009,Webcam HD,Accesorios,4,210000
V0046,2026-07-08,C029,P017,Hub USB-C,Accesorios,5,175000
V0047,2026-03-30,C005,P007,Disco SSD 1TB,Almacenamiento,4,410000
V0048,2026-06-23,C018,P004,Monitor 24,Monitores,2,850000
V0049,2026-05-13,C017,P007,Disco SSD 1TB,Almacenamiento,8,410000
V0050,2026-06-01,C015,P001,Laptop Pro,Computadores,1,4200000
V0051,2026-05-29,C025,P003,Teclado Mecánico,Accesorios,2,280000
V0052,2026-02-10,C009,P002,Mouse Inalámbrico,Accesorios,2,95000
V0053,2026-03-15,C029,P016,Base Refrigerante,Accesorios,3,145000
V0054,2026-04-03,C010,P015,Escritorio Oficina,Mobiliario,2,1350000
V0055,2026-04-09,C017,P014,Silla Ergonómica,Mobiliario,1,1180000
V0056,2026-01-13,C016,P010,Audífonos Bluetooth,Audio,6,320000
V0057,2026-04-18,C026,P015,Escritorio Oficina,Mobiliario,8,1350000
V0058,2026-02-03,C014,P004,Monitor 24,Monitores,1,850000
V0059,2026-05-26,C009,P019,Proyector HD,Proyección,3,2200000
V0060,2026-05-14,C001,P011,Tablet 10,Tablets,5,1450000
V0061,2026-06-29,C011,P019,Proyector HD,Proyección,8,2200000
V0062,2026-05-26,C025,P004,Monitor 24,Monitores,6,850000
V0063,2026-03-15,C001,P010,Audífonos Bluetooth,Audio,7,320000
V0064,2026-07-07,C027,P014,Silla Ergonómica,Mobiliario,5,1180000
V0065,2026-03-24,C017,P010,Audífonos Bluetooth,Audio,4,320000
V0066,2026-03-07,C005,P009,Webcam HD,Accesorios,2,210000
V0067,2026-06-26,C010,P004,Monitor 24,Monitores,7,850000
V0068,2026-03-16,C017,P008,Memoria RAM 16GB,Componentes,7,290000
V0069,2026-01-19,C010,P005,Monitor 27,Monitores,1,1250000
V0070,2026-04-04,C004,P007,Disco SSD 1TB,Almacenamiento,6,410000
V0071,2026-06-05,C020,P014,Silla Ergonómica,Mobiliario,1,1180000
V0072,2026-02-09,C021,P013,Router WiFi 6,Redes,6,390000
V0073,2026-04-02,C004,P013,Router WiFi 6,Redes,7,390000
V0074,2026-01-29,C009,P008,Memoria RAM 16GB,Componentes,2,290000
V0075,2026-05-15,C008,P020,UPS 1200VA,Energía,4,760000
V0076,2026-04-05,C020,P002,Mouse Inalámbrico,Accesorios,1,95000
V0077,2026-03-08,C022,P007,Disco SSD 1TB,Almacenamiento,5,410000
V0078,2026-02-17,C022,P003,Teclado Mecánico,Accesorios,8,280000
V0079,2026-04-22,C029,P007,Disco SSD 1TB,Almacenamiento,1,410000
V0080,2026-05-12,C024,P020,UPS 1200VA,Energía,4,760000
V0081,2026-07-02,C010,P008,Memoria RAM 16GB,Componentes,8,290000
V0082,2026-03-29,C004,P019,Proyector HD,Proyección,3,2200000
V0083,2026-02-04,C019,P010,Audífonos Bluetooth,Audio,2,320000
V0084,2026-06-12,C028,P014,Silla Ergonómica,Mobiliario,4,1180000
V0085,2026-05-04,C030,P010,Audífonos Bluetooth,Audio,5,320000
V0086,2026-05-18,C007,P006,Impresora Multifuncional,Impresión,6,980000
V0087,2026-01-23,C008,P016,Base Refrigerante,Accesorios,3,145000
V0088,2026-03-05,C002,P020,UPS 1200VA,Energía,8,760000
V0089,2026-05-30,C005,P006,Impresora Multifuncional,Impresión,5,980000
V0090,2026-06-12,C017,P016,Base Refrigerante,Accesorios,3,145000
V0091,2026-03-28,C017,P006,Impresora Multifuncional,Impresión,8,980000
V0092,2026-06-06,C012,P015,Escritorio Oficina,Mobiliario,8,1350000
V0093,2026-06-13,C010,P016,Base Refrigerante,Accesorios,4,145000
V0094,2026-03-19,C025,P009,Webcam HD,Accesorios,1,210000
V0095,2026-06-24,C014,P015,Escritorio Oficina,Mobiliario,5,1350000
V0096,2026-02-28,C025,P006,Impresora Multifuncional,Impresión,5,980000
V0097,2026-02-19,C029,P002,Mouse Inalámbrico,Accesorios,2,95000
V0098,2026-05-14,C010,P002,Mouse Inalámbrico,Accesorios,6,95000
V0099,2026-05-05,C007,P009,Webcam HD,Accesorios,7,210000
V0100,2026-01-31,C029,P019,Proyector HD,Proyección,1,2200000
V0101,2026-06-12,C020,P003,Teclado Mecánico,Accesorios,6,280000
V0102,2026-02-11,C009,P010,Audífonos Bluetooth,Audio,2,320000
V0103,2026-06-06,C019,P015,Escritorio Oficina,Mobiliario,6,1350000
V0104,2026-01-06,C016,P005,Monitor 27,Monitores,4,1250000
V0105,2026-06-05,C028,P015,Escritorio Oficina,Mobiliario,1,1350000
V0106,2026-06-03,C008,P007,Disco SSD 1TB,Almacenamiento,8,410000
V0107,2026-06-02,C030,P017,Hub USB-C,Accesorios,2,175000
V0108,2026-05-11,C029,P012,Celular Empresarial,Telefonía,5,1850000
V0109,2026-04-04,C006,P011,Tablet 10,Tablets,2,1450000
V0110,2026-05-18,C005,P004,Monitor 24,Monitores,8,850000
V0111,2026-02-26,C016,P010,Audífonos Bluetooth,Audio,6,320000
V0112,2026-06-02,C002,P018,Cámara de Seguridad,Seguridad,7,360000
V0113,2026-04-20,C009,P001,Laptop Pro,Computadores,4,4200000
V0114,2026-04-02,C014,P016,Base Refrigerante,Accesorios,4,145000
V0115,2026-04-11,C030,P010,Audífonos Bluetooth,Audio,6,320000
V0116,2026-04-23,C030,P015,Escritorio Oficina,Mobiliario,7,1350000
V0117,2026-01-12,C005,P014,Silla Ergonómica,Mobiliario,7,1180000
V0118,2026-01-31,C027,P009,Webcam HD,Accesorios,1,210000
V0119,2026-02-20,C003,P007,Disco SSD 1TB,Almacenamiento,6,410000
V0120,2026-01-26,C023,P013,Router WiFi 6,Redes,1,390000
